name,reviews,rating,category,address,website,url,query,facebook_ads_search
Fineline Design Pte Ltd,201,4.5,Interior designer,"441 Balestier Rd, Singapore 329820",fineline.com.sg,https://www.google.com/maps/place/Fineline+Design+Pte+Ltd/data=!4m7!3m6!1s0x31da19df6536b325:0xa06bd3f137e7a780!8m2!3d1.3260233!4d103.8484631!16s%2Fg%2F1ptvrksd7!19sChIJJbM2Zd8Z2jERgKfnN_HTa6A?authuser=0&hl=en&rclk=1,interior designer Balestier Singapore,
SG INTERIOR DESIGN,197,4.8,Interior designer,"15 Lor 8 Toa Payoh, #07-08, Singapore 319262",sginterior.com.sg,https://www.google.com/maps/place/SG+INTERIOR+DESIGN/data=!4m7!3m6!1s0x31da17d86de3e371:0x9a83421d41042f2e!8m2!3d1.3403666!4d103.8581647!16s%2Fg%2F11mv52fry_!19sChIJcePjbdgX2jERLi8EQR1Cg5o?authuser=0&hl=en&rclk=1,interior designer Singapore,@sginteriordesignn
Design 4 Space Pte Ltd (Paya Lebar),195,4.7,Interior designer,"140 Paya Lebar Rd, #01-19/20 AZ @Paya Lebar, Singapore 409015",design4space.com.sg,https://www.google.com/maps/place/Design+4+Space+Pte+Ltd+%28Paya+Lebar%29/data=!4m7!3m6!1s0x31da178ab5c8705b:0x72b11c6a862ab6d5!8m2!3d1.3271819!4d103.8907016!16s%2Fg%2F11b6tqqqm9!19sChIJW3DItYoX2jER1bYqhmocsXI?authuser=0&hl=en&rclk=1,interior designer Paya Lebar Singapore,
Larvotto Interior Design Pte Ltd,186,4.7,Interior designer,"18 Boon Lay Wy, #01-93/94 Tradehub 21, Singapore 609966",larvottointerior.com,https://www.google.com/maps/place/Larvotto+Interior+Design+Pte+Ltd/data=!4m7!3m6!1s0x31da11c427c8c133:0x6f9052d6d6c093d7!8m2!3d1.328382!4d103.752966!16s%2Fg%2F11s2l4dhb8!19sChIJM8HIJ8QR2jER15PA1tZSkG8?authuser=0&hl=en&rclk=1,interior designer Jurong Singapore,
ExQsite Interior Design Pte Ltd,185,4.8,Interior designer,"8 Boon Lay Wy, #01-11, Singapore 609964",exqsiteinterior.com,https://www.google.com/maps/search/?api=1&query=ExQsite%20Interior%20Design%20Pte%20Ltd%208%20Boon%20Lay%20Wy%2C%20%2301-11%2C%20Singapore%20609964,interior design company Singapore,
Comfort Home Interior,184,5,Interior designer,"39 Woodlands Cl, #08-29 MEGA@Woodlands, Singapore 737856",comforthomeinterior.com,https://www.google.com/maps/place/Comfort+Home+Interior/data=!4m7!3m6!1s0x31da13d9ca9ac851:0x9acd283d3c90f1fa!8m2!3d1.4373009!4d103.8068931!16s%2Fg%2F11twkgxj3g!19sChIJUciaytkT2jER-vGQPD0ozZo?authuser=0&hl=en&rclk=1,interior designer Woodlands Singapore,
Vitas Design SG,183,5,Interior designer,"1 Commonwealth Ln, #03-21 One Commonwealth, Singapore 149544",vitasdesignsg.com,https://www.google.com/maps/place/Vitas+Design+SG/data=!4m7!3m6!1s0x31da19a9797d8343:0xbf33499aad7bf748!8m2!3d1.3047251!4d103.7966594!16s%2Fg%2F11h1rx_djs!19sChIJQ4N9eakZ2jERSPd7rZpJM78?authuser=0&hl=en&rclk=1,interior designer Bukit Timah Singapore,
Chapter 13 Interior Design,179,4.5,Interior designer,"Yishun Industrial Street 1, #01-20 Northview Bizhub, Singapore 768090",chapter13.com.sg,https://www.google.com/maps/place/Chapter+13+Interior+Design/data=!4m7!3m6!1s0x31da157a104954d7:0x6101899fcf6e8c28!8m2!3d1.4365531!4d103.8435363!16s%2Fg%2F11h717h_n8!19sChIJ11RJEHoV2jERKIxuz5-JAWE?authuser=0&hl=en&rclk=1,interior designer Yishun Singapore,
Starry Homestead @ Boon Lay Way,172,4.9,Interior designer,"18 Boon Lay Wy, #01-101 Tradehub 21, Singapore 609966",starryhomestead.com,https://www.google.com/maps/place/Starry+Homestead+@+Boon+Lay+Way/data=!4m7!3m6!1s0x31da11e2dedee397:0x22e950ff3efe9b82!8m2!3d1.328586!4d103.7516823!16s%2Fg%2F11fd563jwz!19sChIJl-Pe3uIR2jERgpv-Pv9Q6SI?authuser=0&hl=en&rclk=1,interior designer Jurong Singapore,
Monoloft,172,4.9,Interior designer,"8 Burn Rd, #09-02 Trivex, Singapore 369977",monoloft.sg,https://www.google.com/maps/search/?api=1&query=Monoloft%208%20Burn%20Rd%2C%20%2309-02%20Trivex%2C%20Singapore%20369977,interior design company Singapore,
Taccuino Interior Studio,171,5,Interior designer,"1 Yishun Industrial Street 1, #04-32, A Posh Bizhub, Singapore 768160",taccuinointerior.com,https://www.google.com/maps/place/Taccuino+Interior+Studio/data=!4m7!3m6!1s0x827de8b8c211dfc9:0xb828a91b6f0b241!8m2!3d1.436958!4d103.8421412!16s%2Fg%2F11s9jtqkh5!19sChIJyd8RwrjofYIRQbLwtpGKggs?authuser=0&hl=en&rclk=1,interior designer Yishun Singapore,
Design 4 Space Pte Ltd (Tradehub 21),166,4.7,Interior designer,"18 Boon Lay Wy, #01-139 Trade Hub 21, Singapore 609966",design4space.com.sg,https://www.google.com/maps/place/Design+4+Space+Pte+Ltd+%28Tradehub+21%29/data=!4m7!3m6!1s0x31da19cbdf8edc4f:0x870c4f296e83539!8m2!3d1.3282134!4d103.7533383!16s%2Fg%2F1ptxc_b52!19sChIJT9yO38sZ2jEROTXolvLEcAg?authuser=0&hl=en&rclk=1,interior designer Jurong Singapore,
Visionary Interior Design Pte. Ltd.,163,4.7,Interior designer,"229 Ubi Ave 4, Singapore 408816",visionaryinterior.com,https://www.google.com/maps/place/Visionary+Interior+Design+Pte.+Ltd./data=!4m7!3m6!1s0x31da139937320e11:0x9ccc8a46f458d340!8m2!3d1.3359525!4d103.8950347!16s%2Fg%2F11h52xpz_3!19sChIJEQ4yN5kT2jERQNNY9EaKzJw?authuser=0&hl=en&rclk=1,interior designer Paya Lebar Singapore,@visionaryinterior
Todz'Terior Pte Ltd,163,4.8,Interior designer,"7 Gambas Cres, #01-18 ARK @ Gambas, Singapore 757087",todzterior.com,https://www.google.com/maps/search/?api=1&query=Todz'Terior%20Pte%20Ltd%207%20Gambas%20Cres%2C%20%2301-18%20ARK%20%40%20Gambas%2C%20Singapore%20757087,interior design company Singapore,
Mr Designer Studio,160,4.8,Interior designer,"601 Macpherson Road Grantral Mall, #03-08/09 Grantral Complex, Singapore 368242",mrdesignerstudios.com,https://www.google.com/maps/search/?api=1&query=Mr%20Designer%20Studio%20601%20Macpherson%20Road%20Grantral%20Mall%2C%20%2303-08%2F09%20Grantral%20Complex%2C%20Singapore%20368242,interior design company Singapore,
Reborn Interior Pte. Ltd.,157,4.9,Interior designer,"18 Boon Lay Wy, #01-98B, Singapore 609966",facebook.com,https://www.google.com/maps/place/Reborn+Interior+Pte.+Ltd./data=!4m7!3m6!1s0x31da11633a5f8753:0x95a6dee97f314e6b!8m2!3d1.328382!4d103.752966!16s%2Fg%2F11wwj8_8zb!19sChIJU4dfOmMR2jERa04xf-neppU?authuser=0&hl=en&rclk=1,interior designer Jurong Singapore,
